Date,Open,High,Low,Close,Adj Close,Volume
2021-07-20,82201.000000,82700.000000,81402.000000,81640.046875,81430.742188,7135
2021-07-22,81650.500000,82400.000000,81242.546875,81572.000000,81362.867188,6118
2021-07-23,81879.953125,81969.750000,81000.000000,81174.851563,80966.742188,4471
2021-07-26,81349.000000,81599.546875,80700.000000,80917.750000,80710.304688,5993
2021-07-27,80925.000000,81319.953125,79947.851563,80095.351563,79890.007813,6581
2021-07-28,80255.546875,80545.000000,79201.046875,79922.750000,79717.851563,7559
2021-07-29,80002.296875,80297.796875,79451.953125,79725.500000,79521.093750,5158
2021-07-30,79964.703125,81140.000000,79713.296875,79907.453125,79702.585938,9818
2021-08-02,80499.000000,81349.953125,80133.296875,80420.851563,80214.664063,10580
2021-08-03,80800.000000,81220.000000,80512.500000,81018.398438,80810.687500,5106
2021-08-04,81019.000000,81600.453125,80202.000000,80453.000000,80296.296875,6965
2021-08-05,80613.898438,80722.296875,79466.898438,79663.250000,79508.085938,8114
2021-08-06,79696.953125,80149.750000,79000.000000,79159.648438,79005.453125,10148
2021-08-09,79489.953125,82664.796875,79200.000000,80050.648438,79894.726563,64535
2021-08-10,80099.000000,80939.953125,78200.000000,78828.046875,78674.507813,22258
2021-08-11,79000.000000,79799.648438,77300.000000,77603.101563,77451.945313,16579
2021-08-12,78199.000000,78709.953125,77605.000000,78236.046875,78083.656250,13737
2021-08-13,78550.000000,79200.000000,78468.148438,78872.851563,78719.234375,9067
2021-08-16,78951.703125,79350.000000,78110.000000,78658.796875,78505.593750,8280
2021-08-17,78658.796875,79165.046875,77930.101563,78736.601563,78583.234375,9035
2021-08-18,79099.000000,79500.000000,78900.000000,79347.148438,79192.601563,7011
2021-08-20,79399.000000,79399.000000,77805.000000,78076.953125,77924.882813,8520
2021-08-23,78699.000000,78699.000000,75950.000000,76162.898438,76014.546875,14541
2021-08-24,76500.000000,77401.000000,76014.750000,77157.953125,77007.664063,12172
2021-08-25,77239.953125,77980.000000,76737.546875,77015.546875,76865.546875,12272
2021-08-26,77131.000000,77265.000000,76300.000000,76564.546875,76415.421875,8394
2021-08-27,76650.000000,77332.648438,76564.546875,76953.453125,76803.562500,6617
2021-08-30,77000.000000,78374.953125,77000.000000,78185.500000,78033.218750,9045
2021-08-31,78300.000000,79855.046875,78257.796875,79742.750000,79587.429688,14859
2021-09-01,80000.000000,80559.953125,79239.796875,79954.648438,79798.914063,10789
2021-09-02,80393.000000,81875.546875,80041.453125,81265.148438,81106.859375,14947
2021-09-03,81949.000000,82600.101563,81509.898438,82397.851563,82237.351563,15764
2021-09-06,82700.000000,83200.000000,81278.750000,81404.851563,81246.296875,10180
2021-09-07,81785.000000,82300.000000,80890.046875,81084.703125,80926.765625,11928
2021-09-08,81380.000000,81429.648438,79810.000000,80240.000000,80083.710938,9413
2021-09-09,80300.000000,81469.953125,79800.000000,79867.898438,79712.328125,14454
2021-09-13,79800.000000,80407.101563,79250.000000,80243.601563,80087.312500,7150
2021-09-14,80230.000000,80847.046875,80052.046875,80423.851563,80267.203125,9958
2021-09-15,80521.000000,80995.000000,80116.648438,80210.148438,80053.914063,9413
2021-09-16,80600.000000,80600.000000,79801.000000,79971.703125,79815.937500,6457
2021-09-17,80000.000000,80339.796875,78851.000000,79397.250000,79242.593750,13253
2021-09-20,79190.000000,79950.000000,78510.000000,78875.453125,78721.828125,11737
2021-09-21,78870.000000,79031.296875,78050.000000,78373.750000,78221.093750,10584
2021-09-22,78500.000000,80550.000000,78500.000000,79993.796875,79837.992188,16457
2021-09-23,80600.000000,80999.000000,80001.546875,80220.703125,80064.453125,6530
2021-09-24,80500.000000,80690.000000,79055.046875,79456.500000,79301.742188,11095
2021-09-27,79949.000000,82000.000000,79144.648438,81893.398438,81733.890625,20927
2021-09-28,81759.398438,81890.000000,79810.000000,80488.601563,80331.835938,14053
2021-09-29,80306.101563,80431.500000,78901.046875,79056.703125,78902.718750,25732
2021-09-30,79550.000000,79679.953125,78652.046875,79375.546875,79220.929688,16379
2021-10-01,79000.000000,79370.000000,78510.000000,78994.398438,78840.531250,8506
2021-10-04,79477.203125,80551.953125,79400.000000,79787.000000,79631.601563,10101
2021-10-05,79750.000000,80070.000000,79232.000000,79407.203125,79252.531250,5361
2021-10-06,79645.000000,79890.000000,78500.000000,78629.500000,78476.359375,9556
2021-10-07,79149.953125,81446.398438,78860.101563,81272.546875,81114.242188,22060
2021-10-08,81300.000000,86373.453125,81100.101563,85860.453125,85693.218750,54225
2021-10-11,85860.000000,87550.000000,84720.453125,84932.898438,84767.468750,28671
2021-10-12,85000.000000,86199.953125,84380.203125,85617.500000,85450.742188,16687
2021-10-13,86158.000000,86800.000000,85440.000000,86106.546875,85938.828125,11972
2021-10-14,86335.000000,86600.000000,84999.898438,85166.453125,85000.578125,7265
2021-10-18,85300.000000,86900.000000,84000.000000,84314.101563,84149.882813,20490
2021-10-19,84839.000000,85176.250000,82589.351563,83013.203125,82851.507813,15834
2021-10-20,83150.000000,83382.453125,81000.000000,82516.546875,82355.828125,28021
2021-10-21,83278.796875,83399.953125,80900.546875,81091.453125,80933.507813,18125
2021-10-22,81100.046875,82273.250000,80080.000000,80800.398438,80643.015625,24048
2021-10-25,81499.953125,81499.953125,79016.453125,79429.453125,79274.742188,19941
2021-10-26,79500.000000,80500.000000,79283.703125,80093.750000,79937.742188,7847
2021-10-27,80494.000000,80575.000000,79200.000000,79372.796875,79218.195313,6723
2021-10-28,79373.000000,79709.203125,77300.000000,77609.351563,77458.179688,12606
